filename	enum	defaultf0floor	defaultf0ceiling	idx	character	case	minTime	maxTime	char_duration	boundary	syl_rhyme	syl_rhyme_minTime	syl_rhyme_maxTime	syl_rhyme_duration	rhyme	rhyme_minTime	rhyme_maxTime	rhyme_duration	f0min	f0max	f0min_time	f0max_time	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20
S2diaA5	5	90.0	450.0	6	狮	Object	0.89519	1.27583	0.38064	0	I	1.12184	1.27583	0.15399	I	1.13361	1.26349	0.12988	102.596	152.677	1.13361	1.246499223908114	1.13361	1.1401	1.1466	1.15309	1.15959	1.16608	1.17257	1.17907	1.18556	1.19206	1.19855	1.20504	1.21154	1.21803	1.22453	1.23102	1.23751	1.24401	1.2505	1.257	99.222	100.559	101.896	103.358	104.96	106.562	109.553	114.659	119.766	124.664	129.111	133.559	137.955	142.184	146.413	150.116	150.992	151.869	152.537	150.716
S2diaA5	6	90.0	450.0	7	子	Object(suffix)	1.27583	1.45576	0.17993	1	I	1.3864	1.45576	0.06936	I	1.4064	1.44576	0.03936	107.766	126.314	1.44576	1.4064	1.4064	1.40837	1.41034	1.4123	1.41427	1.41624	1.41821	1.42018	1.42214	1.42411	1.42608	1.42805	1.43002	1.43198	1.43395	1.43592	1.43789	1.43986	1.44182	1.44379	129.003	127.533	126.003	124.177	122.352	120.527	118.702	116.877	115.052	113.227	111.402	109.577	107.757	106.636	105.516	104.395	103.274	102.153	101.033	99.912
S2diaN1D5	0	60.0	290.0	1	小	Name(prefix)	0.43404	0.5949	0.16086	0	yaw	0.53755	0.5949	0.05735	yaw	0.53755	0.5949	0.05735	181.182	186.714	0.5949	0.5394019274376418	0.53755	0.54042	0.54329	0.54615	0.54902	0.55189	0.55475	0.55762	0.56049	0.56336	0.56622	0.56909	0.57196	0.57483	0.57769	0.58056	0.58343	0.5863	0.58916	0.59203	186.714	186.513	185.944	185.375	184.807	184.238	183.721	183.204	182.686	182.169	181.892	181.752	181.613	181.473	181.36	181.316	181.273	181.229	181.185	180.588
S2diaN1D5	1	60.0	290.0	2	映	Name	0.5949	0.70693	0.11203	0	in	0.61826	0.70693	0.08867	in	0.61826	0.70693	0.08867	109.265	167.261	0.70693	0.61826	0.61826	0.62269	0.62713	0.63156	0.63599	0.64043	0.64486	0.64929	0.65373	0.65816	0.6626	0.66703	0.67146	0.6759	0.68033	0.68476	0.6892	0.69363	0.69806	0.7025	169.548	168.375	167.194	165.883	164.571	162.401	157.375	152.35	147.496	142.888	138.281	134.547	131.414	128.281	125.31	122.386	119.463	115.924	112.355	109.004
S2diaN1D5	2	60.0	290.0	3	卖	Verb	0.70693	0.81337	0.10644	0	@y	0.74746	0.81337	0.06591	@y	0.74746	0.81337	0.06591	84.781	94.298	0.8046320328181155	0.74746	0.74746	0.75076	0.75405	0.75735	0.76064	0.76394	0.76723	0.77053	0.77382	0.77712	0.78042	0.78371	0.78701	0.7903	0.7936	0.79689	0.80019	0.80348	0.80678	0.81007	95.205	94.532	93.715	92.821	91.926	91.032	90.716	90.495	90.274	89.996	88.908	87.821	86.733	85.859	85.553	85.246	84.94	84.839	84.959	85.079
S2diaN1D5	3	60.0	290.0	4	了	Aspect	0.81337	0.8877	0.07433	0	o	0.83862	0.8877	0.04908	o	0.83862	0.8777	0.03908	89.605	96.559	0.83862	0.8769019274376418	0.83862	0.84057	0.84253	0.84448	0.84644	0.84839	0.85034	0.8523	0.85425	0.85621	0.85816	0.86011	0.86207	0.86402	0.86598	0.86793	0.86988	0.87184	0.87379	0.87575	89.545	89.838	90.226	90.614	91.002	91.39	91.778	92.139	92.396	92.653	92.909	93.166	93.423	93.679	94.086	94.528	94.971	95.413	95.855	96.298
S2diaN1D5	4	60.0	290.0	5	双	Classifier	0.8877	1.07671	0.18901	0	waN	0.96601	1.07671	0.1107	waN	0.97601	1.07671	0.1007	109.293	116.386	1.0032025996418152	0.9769019274376418	0.97601	0.98105	0.98608	0.99112	0.99615	1.00118	1.00622	1.01126	1.01629	1.02133	1.02636	1.0314	1.03643	1.04147	1.0465	1.05154	1.05657	1.06161	1.06664	1.07168	116.386	114.406	111.999	110.258	109.808	109.357	109.546	109.842	110.512	111.808	113.103	113.886	114.606	115.216	115.669	116.122	115.958	115.746	115.25	114.4
S2diaN1D5	5	60.0	290.0	6	袜	Object	1.07671	1.33979	0.26308	0	a	1.14266	1.33979	0.19713	a	1.14266	1.32979	0.18713	89.287	96.426	1.326901927437642	1.14266	1.14266	1.15202	1.16137	1.17073	1.18009	1.18944	1.1988	1.20816	1.21751	1.22687	1.23623	1.24558	1.25494	1.26429	1.27365	1.28301	1.29236	1.30172	1.31108	1.32043	97.791	96.417	95.674	94.831	93.96	93.127	92.618	92.218	91.983	91.974	92.023	91.786	91.373	90.896	90.329	89.993	89.831	89.777	89.565	89.391
S2diaN1D5	6	60.0	290.0	7	子	Object(suffix)	1.33979	1.55391	0.21412	1	I	1.45414	1.55391	0.09977	I	1.46414	1.52391	0.05977	86.039	95.527	1.52391	1.4644019274376419	1.46414	1.46713	1.47012	1.47311	1.47609	1.47908	1.48207	1.48506	1.48805	1.49104	1.49403	1.49701	1.5	1.50299	1.50598	1.50897	1.51196	1.51494	1.51793	1.52092	95.527	95.219	94.881	94.543	94.206	93.547	92.771	91.994	91.217	90.632	90.205	89.779	89.352	88.816	88.089	87.361	86.634	85.616	83.289	80.961
S2diaC1	0	80.0	360.0	1	小	Name(prefix)	0.36417	0.5625	0.19833	0	yaw	0.47867	0.5625	0.08383	yaw	0.47867	0.5625	0.08383	129.733	141.181	0.5363307065430943	0.4823653628117914	0.47867	0.48286	0.48705	0.49124	0.49544	0.49963	0.50382	0.50801	0.5122	0.51639	0.52058	0.52478	0.52897	0.53316	0.53735	0.54154	0.54573	0.54993	0.55412	0.55831	141.181	141.138	140.779	140.419	137.749	134.769	133.275	132.598	131.994	131.495	131.108	131.261	131.414	130.717	129.961	131.265	133.459	135.579	137.611	139.348
S2diaC1	1	80.0	360.0	2	影	Name	0.5625	0.7525	0.19	0	yin	0.5625	0.7525	0.19	yin	0.5625	0.7525	0.19	139.813	142.39	0.7525	0.7208064599140355	0.5625	0.572	0.5815	0.591	0.6005	0.61	0.6195	0.629	0.6385	0.648	0.6575	0.667	0.6765	0.686	0.6955	0.705	0.7145	0.724	0.7335	0.743	140.065	140.835	140.86	140.548	140.22	140.41	140.403	139.988	140.316	140.956	140.672	141.027	141.022	141.339	141.786	141.72	142.216	142.35	142.128	141.201
S2diaC1	2	80.0	360.0	3	买	Verb	0.7525	0.87388	0.12138	0	@y	0.78159	0.87388	0.09229	@y	0.78159	0.87388	0.09229	138.951	141.379	0.78700501045382	0.8553649942787488	0.78159	0.7862	0.79082	0.79543	0.80005	0.80466	0.80928	0.81389	0.81851	0.82312	0.82773	0.83235	0.83696	0.84158	0.84619	0.85081	0.85542	0.86004	0.86465	0.86927	139.201	138.957	138.965	139.325	139.774	140.268	140.776	140.805	140.662	140.593	140.555	140.564	140.597	140.667	140.758	140.969	141.257	140.964	140.247	139.859
S2diaC1	3	80.0	360.0	4	了	Aspect	0.87388	0.96432	0.09044	0	o	0.90268	0.96432	0.06164	o	0.90268	0.95432	0.05164	113.278	136.766	0.9511153628117913	0.90268	0.90268	0.90526	0.90784	0.91043	0.91301	0.91559	0.91817	0.92075	0.92334	0.92592	0.9285	0.93108	0.93366	0.93625	0.93883	0.94141	0.94399	0.94657	0.94916	0.95174	137.478	136.29	135.087	133.884	132.681	131.556	130.454	129.353	128.262	127.232	126.203	125.174	123.879	122.32	120.761	119.203	117.628	116.051	114.474	113.278
S2diaC1	4	80.0	360.0	5	把	Classifier	0.96432	1.1125	0.14818	0	a	1.02414	1.1125	0.08836	a	1.02414	1.1125	0.08836	106.424	110.354	1.1064681997946082	1.0261153628117914	1.02414	1.02856	1.03298	1.03739	1.04181	1.04623	1.05065	1.05507	1.05948	1.0639	1.06832	1.07274	1.07716	1.08157	1.08599	1.09041	1.09483	1.09925	1.10366	1.10808	110.354	109.875	109.008	108.117	107.193	106.567	106.604	106.72	107.181	107.61	107.593	107.575	107.447	107.313	107.517	107.795	107.47	106.884	106.578	106.478
S2diaC1	5	80.0	360.0	6	椅	Object	1.1125	1.42166	0.30916	0	i	1.1125	1.42166	0.30916	i	1.1125	1.42166	0.30916	109.198	158.798	1.1125	1.385293771888639	1.1125	1.12796	1.14342	1.15887	1.17433	1.18979	1.20525	1.22071	1.23616	1.25162	1.26708	1.28254	1.298	1.31345	1.32891	1.34437	1.35983	1.37529	1.39074	1.4062	107.018	111.767	113.267	111.883	112.162	114.378	116.487	118.557	120.942	124.723	128.448	133.347	137.076	142.117	147.776	150.646	153.673	157.318	158.394	150.893
